174053,,304177,1992_ALABAMA,1481703,715680,,ALABAMA,1659028,735036,2653798,2678885,1992
37451,,106780,1992_ALASKA,498362,222100,,ALASKA,720711,350902,972488,1049591,1992
609114,,297888,1992_ARIZONA,1435908,1590376,,ARIZONA,1369815,1007732,3401580,3258079,1992
145212,,178571,1992_ARKANSAS,964323,574603,,ARKANSAS,958785,483488,1743022,1711959,1992
2044688,,2072470,1992_CALIFORNIA,14358922,7641041,,CALIFORNIA,16546514,8520926,27138832,26260025,1992
364760,,163253,1992_COLORADO,1642466,1713934,,COLORADO,1307986,1035970,3264826,3185173,1992
48542,,143542,1992_CONNECTICUT,2148041,2348221,,CONNECTICUT,1342539,1142600,3721338,3834302,1992
30595,,45945,1992_DELAWARE,372722,178346,,DELAWARE,420942,194915,638784,645233,1992
47272,,64749,1992_DISTRICT_OF_COLUMBIA,329160,644731,,DISTRICT_OF_COLUMBIA,0,316679,742893,709480,1992
1667826,,788420,1992_FLORIDA,5166374,5033930,,FLORIDA,5683949,3410440,11305642,11506299,1992
526644,,398701,1992_GEORGIA,3043984,2339526,,GEORGIA,2798674,1559059,5535942,5536901,1992
126212,,71273,1992_HAWAII,536115,22093,,HAWAII,903443,291376,1040121,996809,1992
111353,,69138,1992_IDAHO,473505,258279,,IDAHO,531912,246320,886161,859329,1992
727858,,597077,1992_ILLINOIS,5010400,6078395,,ILLINOIS,3073178,3148849,9850560,9748650,1992
536404,,257044,1992_INDIANA,2598925,2225081,,INDIANA,2578149,1478639,5182754,5060274,1992
222086,,125665,1992_IOWA,1446478,1362064,,IOWA,1176205,800570,2795774,2663934,1992
157705,,121625,1992_KANSAS,1165749,1220524,,KANSAS,903199,708572,2234915,2245348,1992
136694,,289902,1992_KENTUCKY,1343438,709891,,KENTUCKY,1643109,817871,2518082,2642902,1992
135305,,367822,1992_LOUISIANA,1888349,1124697,,LOUISIANA,1848734,986486,3362853,3341253,1992
97128,,73160,1992_MAINE,685350,622005,,MAINE,511654,317880,1228869,1206819,1992
340298,,228336,1992_MARYLAND,2628891,2651328,,MARYLAND,1778834,1461083,4698374,4658498,1992
167247,,273946,1992_MASSACHUSETTS,2751871,3804662,,MASSACHUSETTS,1439051,1523068,5245560,5517659,1992
825552,,537917,1992_MICHIGAN,4681327,6885840,,MICHIGAN,2539380,3321276,10170688,9963137,1992
463724,,194092,1992_MINNESOTA,2534882,2109838,,MINNESOTA,2380754,1343203,4981125,4684684,1992
131795,,277706,1992_MISSISSIPPI,956104,505801,,MISSISSIPPI,901199,445364,1691990,1684706,1992
474552,,255194,1992_MISSOURI,2168135,1885364,,MISSOURI,1903124,1221397,4197600,4043682,1992
64263,,69947,1992_MONTANA,412219,421581,,MONTANA,337455,241644,781009,828983,1992
132183,,85423,1992_NEBRASKA,909159,964734,,NEBRASKA,492256,394690,1534046,1542413,1992
249189,,45018,1992_NEVADA,572623,328026,,NEVADA,724032,334685,1251651,1097076,1992
63554,,31020,1992_NEW_HAMPSHIRE,581123,946075,,NEW_HAMPSHIRE,86296,310285,1066647,1063391,1992
474259,,416063,1992_NEW_JERSEY,6042936,5893908,,NEW_JERSEY,4504718,2911782,10452340,10814689,1992
139206,,161520,1992_NEW_MEXICO,683253,177918,,NEW_MEXICO,990653,432392,1339829,1330091,1992
1640971,,1172030,1992_NEW_YORK,13288972,11760486,,NEW_YORK,8697663,6132532,22815611,21630179,1992
