235.729,278.169,216.307,267.906,2015_MICHIGAN,MICHIGAN,2015
249.576,294.148,223.353,274.498,2015_MINNESOTA,MINNESOTA,2015
234.243,270.58,214.111,264.497,2015_MISSISSIPPI,MISSISSIPPI,2015
238.965,280.821,222.726,270.237,2015_MISSOURI,MISSOURI,2015
241.287,287.464,224.757,251.976,2015_MONTANA,MONTANA,2015
243.864,286.499,226.635,266.876,2015_NEBRASKA,NEBRASKA,2015
233.827,275.172,214.426,269.957,2015_NEVADA,NEVADA,2015
249.151,294.413,231.95,269.426,2015_NEW_HAMPSHIRE,NEW_HAMPSHIRE,2015
245.383,293.366,229.488,259.417,2015_NEW_JERSEY,NEW_JERSEY,2015
231.167,270.898,207.24,274.807,2015_NEW_MEXICO,NEW_MEXICO,2015
236.797,280.089,222.646,270.854,2015_NEW_YORK,NEW_YORK,2015
243.742,281.331,225.811,253.228,2015_NORTH_CAROLINA,NORTH_CAROLINA,2015
244.714,288.244,224.692,263.248,2015_NORTH_DAKOTA,NORTH_DAKOTA,2015
243.599,285.062,224.93,260.595,2015_OHIO,OHIO,2015
239.76,274.586,221.831,266.955,2015_OKLAHOMA,OKLAHOMA,2015
237.747,282.815,220.223,265.879,2015_OREGON,OREGON,2015
243.312,283.668,226.671,262.673,2015_PENNSYLVANIA,PENNSYLVANIA,2015
238.002,281.445,225.486,267.671,2015_RHODE_ISLAND,RHODE_ISLAND,2015
237.09,275.828,217.97,268.746,2015_SOUTH_CAROLINA,SOUTH_CAROLINA,2015
239.723,284.641,220.47,265.051,2015_SOUTH_DAKOTA,SOUTH_DAKOTA,2015
240.667,278.203,218.613,260.331,2015_TENNESSEE,TENNESSEE,2015
244.002,283.794,217.943,267.08,2015_TEXAS,TEXAS,2015
242.563,286.117,226.143,264.771,2015_UTAH,UTAH,2015
243.25,290.355,230.099,260.655,2015_VERMONT,VERMONT,2015
246.613,287.709,228.971,269.431,2015_VIRGINIA,VIRGINIA,2015
244.981,286.513,225.893,273.962,2015_WASHINGTON,WASHINGTON,2015
235.205,271.451,216.253,266.836,2015_WEST_VIRGINIA,WEST_VIRGINIA,2015
243.31,289.078,223.356,267.251,2015_WISCONSIN,WISCONSIN,2015
246.76,286.667,228.161,260.185,2015_WYOMING,WYOMING,2015
232.861,269.194,218.576,269.534,2013_ALABAMA,ALABAMA,2013
236.122,281.56,209.347,268.803,2013_ALASKA,ALASKA,2013
240.305,279.722,213.134,257.428,2013_ARIZONA,ARIZONA,2013
239.891,277.915,218.524,261.256,2013_ARKANSAS,ARKANSAS,2013
241.65,280.967,221.86,264.013,2005_IDAHO,IDAHO,2005
233.654,275.901,212.546,260.448,2013_CALIFORNIA,CALIFORNIA,2013
246.976,289.682,226.663,261.964,2013_COLORADO,COLORADO,2013
243.44,285.244,229.582,261.502,2013_CONNECTICUT,CONNECTICUT,2013
243.108,282.338,225.772,271.009,2013_DELAWARE,DELAWARE,2013
228.567,265.259,205.614,274.46,2013_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,2013
241.676,280.856,227.463,265.985,2013_FLORIDA,FLORIDA,2013
240.047,279.179,221.837,247.739,2013_GEORGIA,GEORGIA,2013
243.309,281.413,214.844,276.994,2013_HAWAII,HAWAII,2013
240.722,286.414,219.303,265.828,2013_IDAHO,IDAHO,2013
239,284.898,218.54,264.616,2013_ILLINOIS,ILLINOIS,2013
248.597,287.768,225.332,259.961,2013_INDIANA,INDIANA,2013
